Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	HOV	MS ID	IRM
I5-N	11	San Diego	San Diego	R.147	.057	.102	1114091	N/O CMNO DE LA PLAZA	6	Mainline	No	3001	
I5-N	11	San Diego	San Diego	R.236	.146	.677	1118333	5 NB @  S. Ysidro	4	Mainline	No	15206	
I5-N	11	San Diego	San Diego	1.502	1.412	.961	1114709	N/O VIA DE SAN YSIDR	4	Mainline	No	3051	
I5-N	11	San Diego	San Diego	2.158	2.068	.574	1118348	5 NB @ Dairy Mart	4	Mainline	No	15209	
I5-N	11	San Diego	San Diego	2.65	2.56	.511	1114720	N/O DAIRY MART RD	4	Mainline	No	3052	
I5-N	11	San Diego	San Diego	3.18	3.09	.721	1118352	5 NB N/O 905	4	Mainline	No	15305	
I5-N	11	San Diego	San Diego	4.093	4.003	.484	1118743	5 NB @ Coronado Ave	4	Mainline	No	25309	
I5-N	11	San Diego	San Diego	4.15	4.06	.355	1114183	.09 M N/O CORONADO	4	Mainline	No	3002	
I5-N	11	San Diego	San Diego	4.804	4.714	.585	1118379	5 NB @ Palm Ave	4	Mainline	No	15311	
I5-N	11	San Diego	San Diego	5.32	5.23	.74	1114734	S/O MAIN ST	5	Mainline	No	3053	
I5-N	11	San Diego	Chula Vista	6.284	6.194	.985	1114748	N/O PALOMAR ST	5	Mainline	No	3054	
I5-N	11	San Diego	Chula Vista	7.291	7.201	.603	1118421	5 NB @ J St	5	Mainline	No	15408	
I5-N	11	San Diego	Chula Vista	7.492	7.402	.309	1114762	N/O J ST	5	Mainline	No	3055	
I5-N	11	San Diego	Chula Vista	7.909	7.819	.56	1118735	5 NB N/O H St	4	Mainline	No	25410	
I5-N	11	San Diego	Chula Vista	8.614	8.524	1.038	1118450	5 NB @ E St	5	Mainline	No	15412	
I5-N	11	San Diego	National City	R9.987	9.897	1.135	1114190	.73 M S/O CIVIC CTR	5	Mainline	No	3003	
I5-N	11	San Diego	National City	R10.898	10.795	.475	1118458	5 NB Civic Center	4	Mainline	No	15507	
I5-N	11	San Diego	National City	R10.95	10.847	.191	1114197	.18 M N/O CIVIC CTR	5	Mainline	No	3004	
I5-N	11	San Diego	National City	R11.281	11.178	.499	1118479	5 NB N/O 8th St	4	Mainline	No	25511	
I5-N	11	San Diego	San Diego	R11.95	11.847	.467	1114205	.27 M N/O DIVISION	6	Mainline	No	3005	
