0,1,2
1,10022,10025
2,10022,10025
3,10022,10053
4,10022,10054
5,10022,10055
6,10022,10055
7,10022,10056
8,10022,10057
9,10022,10058
10,10022,10058
11,10022,10059
12,10022,10060
13,10022,10061
14,10022,10196
15,10022,10197
16,10022,10198
17,10022,10199
18,10022,10200
19,10022,10200
20,10022,10201
21,10022,10202
22,10022,10202
23,10022,10203
24,10022,10203
25,10022,10204
26,10022,10205
27,10022,10205
28,10022,10211
29,10022,10211
30,10022,10213
31,10022,10213
32,10022,10294
33,10022,10294
34,10022,10312
35,10022,10313
36,10022,10314
37,10022,10315
38,10022,10316
39,10022,10317
40,10022,10330
41,10022,10331
42,10022,10332
43,10022,10336
44,10022,10337
45,10022,10338
46,10022,10339
47,10022,10339
48,10022,10340
49,10022,10342
50,10022,10343
51,10022,10344
52,10022,10345
53,10022,10398
54,10022,10207
55,10022,10206
56,10022,10025
57,10022,10025
58,10022,10053
59,10022,10054
60,10022,10055
61,10022,10055
62,10022,10056
63,10022,10057
64,10022,10058
65,10022,10058
66,10022,10059
67,10022,10060
68,10022,10061
69,10022,10196
70,10022,10197
71,10022,10198
72,10022,10199
73,10022,10200
74,10022,10200
75,10022,10201
76,10022,10202
77,10022,10202
78,10022,10203
79,10022,10203
80,10022,10204
81,10022,10205
82,10022,10205
83,10022,10211
84,10022,10211
85,10022,10213
86,10022,10213
87,10022,10294
88,10022,10294
89,10022,10312
90,10022,10313
91,10022,10314
92,10022,10315
93,10022,10316
94,10022,10317
95,10022,10330
96,10022,10331
97,10022,10332
98,10022,10336
99,10022,10337
100,10022,10338
101,10022,10339
102,10022,10339
103,10022,10340
104,10022,10342
105,10022,10343
106,10022,10344
107,10022,10345
108,10022,10398
109,10022,10207
110,10022,10206
111,10025,10022
112,10025,10022
113,10025,10053
114,10025,10054
115,10025,10055
116,10025,10055
117,10025,10056
118,10025,10057
119,10025,10058
120,10025,10058
121,10025,10059
122,10025,10060
123,10025,10061
124,10025,10196
125,10025,10197
126,10025,10198
127,10025,10199
128,10025,10200
129,10025,10200
130,10025,10201
131,10025,10202
132,10025,10202
133,10025,10203
134,10025,10203
135,10025,10204
136,10025,10205
137,10025,10205
138,10025,10211
139,10025,10211
140,10025,10213
141,10025,10213
142,10025,10294
143,10025,10294
144,10025,10312
145,10025,10313
146,10025,10314
147,10025,10315
148,10025,10316
149,10025,10317
150,10025,10330
151,10025,10331
152,10025,10332
153,10025,10336
154,10025,10337
155,10025,10338
156,10025,10339
157,10025,10339
158,10025,10340
159,10025,10342
160,10025,10343
161,10025,10344
162,10025,10345
163,10025,10398
164,10025,10207
165,10025,10206
166,10025,10022
167,10025,10022
168,10025,10053
169,10025,10054
170,10025,10055
171,10025,10055
172,10025,10056
173,10025,10057
174,10025,10058
175,10025,10058
176,10025,10059
177,10025,10060
178,10025,10061
179,10025,10196
180,10025,10197
181,10025,10198
182,10025,10199
183,10025,10200
184,10025,10200
185,10025,10201
186,10025,10202
187,10025,10202
188,10025,10203
189,10025,10203
190,10025,10204
191,10025,10205
192,10025,10205
193,10025,10211
194,10025,10211
195,10025,10213
196,10025,10213
197,10025,10294
198,10025,10294
199,10025,10312
200,10025,10313
201,10025,10314
202,10025,10315
203,10025,10316
204,10025,10317
205,10025,10330
206,10025,10331
207,10025,10332
208,10025,10336
209,10025,10337
210,10025,10338
211,10025,10339
212,10025,10339
213,10025,10340
214,10025,10342
215,10025,10343
216,10025,10344
217,10025,10345
218,10025,10398
219,10025,10207
220,10025,10206
221,10053,10022
222,10053,10022
223,10053,10025
224,10053,10025
225,10053,10054
226,10053,10055
227,10053,10055
228,10053,10056
229,10053,10057
230,10053,10058
231,10053,10058
232,10053,10059
233,10053,10060
234,10053,10061
235,10053,10196
236,10053,10197
237,10053,10198
238,10053,10199
239,10053,10200
240,10053,10200
241,10053,10201
242,10053,10202
243,10053,10202
244,10053,10203
245,10053,10203
246,10053,10204
247,10053,10205
248,10053,10205
249,10053,10211
250,10053,10211
251,10053,10213
252,10053,10213
253,10053,10294
254,10053,10294
255,10053,10312
256,10053,10313
257,10053,10314
258,10053,10315
259,10053,10316
260,10053,10317
261,10053,10330
262,10053,10331
263,10053,10332
264,10053,10336
265,10053,10337
266,10053,10338
267,10053,10339
268,10053,10339
269,10053,10340
270,10053,10342
271,10053,10343
272,10053,10344
273,10053,10345
274,10053,10398
275,10053,10207
276,10053,10206
277,10054,10022
278,10054,10022
279,10054,10025
280,10054,10025
281,10054,10053
282,10054,10055
283,10054,10055
284,10054,10056
285,10054,10057
286,10054,10058
287,10054,10058
288,10054,10059
289,10054,10060
290,10054,10061
291,10054,10196
292,10054,10197
293,10054,10198
294,10054,10199
295,10054,10200
296,10054,10200
297,10054,10201
298,10054,10202
299,10054,10202
300,10054,10203
301,10054,10203
302,10054,10204
303,10054,10205
304,10054,10205
305,10054,10211
306,10054,10211
307,10054,10213
308,10054,10213
309,10054,10294
310,10054,10294
311,10054,10312
312,10054,10313
313,10054,10314
314,10054,10315
315,10054,10316
316,10054,10317
317,10054,10330
318,10054,10331
319,10054,10332
320,10054,10336
321,10054,10337
322,10054,10338
323,10054,10339
324,10054,10339
325,10054,10340
326,10054,10342
327,10054,10343
328,10054,10344
329,10054,10345
330,10054,10398
331,10054,10207
332,10054,10206
333,10055,10022
334,10055,10022
335,10055,10025
336,10055,10025
337,10055,10053
338,10055,10054
339,10055,10056
340,10055,10057
341,10055,10058
342,10055,10058
343,10055,10059
344,10055,10060
345,10055,10061
346,10055,10196
347,10055,10197
348,10055,10198
349,10055,10199
350,10055,10200
351,10055,10200
352,10055,10201
353,10055,10202
354,10055,10202
355,10055,10203
356,10055,10203
357,10055,10204
358,10055,10205
359,10055,10205
360,10055,10211
361,10055,10211
362,10055,10213
363,10055,10213
364,10055,10294
365,10055,10294
366,10055,10312
367,10055,10313
368,10055,10314
369,10055,10315
370,10055,10316
371,10055,10317
372,10055,10330
373,10055,10331
374,10055,10332
375,10055,10336
376,10055,10337
377,10055,10338
378,10055,10339
379,10055,10339
380,10055,10340
381,10055,10342
382,10055,10343
383,10055,10344
384,10055,10345
385,10055,10398
386,10055,10207
387,10055,10206
388,10055,10022
389,10055,10022
390,10055,10025
391,10055,10025
392,10055,10053
393,10055,10054
394,10055,10056
395,10055,10057
396,10055,10058
397,10055,10058
398,10055,10059
399,10055,10060
400,10055,10061
401,10055,10196
402,10055,10197
403,10055,10198
404,10055,10199
405,10055,10200
406,10055,10200
407,10055,10201
408,10055,10202
409,10055,10202
410,10055,10203
411,10055,10203
412,10055,10204
413,10055,10205
414,10055,10205
415,10055,10211
416,10055,10211
417,10055,10213
418,10055,10213
419,10055,10294
420,10055,10294
421,10055,10312
422,10055,10313
423,10055,10314
424,10055,10315
425,10055,10316
426,10055,10317
427,10055,10330
428,10055,10331
429,10055,10332
430,10055,10336
431,10055,10337
432,10055,10338
433,10055,10339
434,10055,10339
435,10055,10340
436,10055,10342
437,10055,10343
438,10055,10344
439,10055,10345
440,10055,10398
441,10055,10207
