1,2,3,4,5,6,7,8
10241,10400,0,0,0,0,0,0
10240,10400,0,0,0,0,0,0
10392,10400,0,0,0,0,0,0
10243,10400,0,0,0,0,0,0
10243,10400,0,0,0,0,0,0
10244,10400,0,0,0,0,0,0
10246,10400,0,0,0,0,0,0
10245,10400,0,0,0,0,0,0
10247,10400,0,0,0,0,0,0
10247,10400,0,0,0,0,0,0
10247,10400,0,0,0,0,0,0
10247,10400,0,0,0,0,0,0
10256,10400,0,0,0,0,0,0
10002,10400,0,0,0,0,0,0
10001,10400,0,0,0,0,0,0.74
10003,10400,0,0,0,0,0,0
10346,10400,2.38,0.045,0,0.07,0.06,0.555
10347,10400,0,0,0,0,0,0
10100,10400,0,0,0,0,0,0
10099,10400,0,0,0,0,0,0
10101,10400,0,0,0,0,0,0
10102,10400,0,0,0,0,0,0
10098,10400,179.06,42.425,0,6.775,10.055,0
10097,10400,0,0,0,0,0,0
10103,10400,0,0,0,0,0,0
10104,10400,2.88,0.77,0,0.08,0.17,0
10105,10400,7.13,1.845,0,0.42,0,0
10106,10400,0,0,0,0,0,0
10107,10400,0.825,0.24,0,0,0,0
10108,10400,0,0,0,0,0,0
10109,10400,0,0,0,0,0,0
10110,10400,0,0,0,0,0,0
10113,10400,642.75,216.56,0,13.155,10.975,0
10114,10400,0,0,0,0,0,0
10111,10400,0,0,0,0,0,0
10112,10400,0,0,0,0,0,0
10118,10400,0,0,0,0,0,0
10116,10400,0,0,0,0,0,0
10115,10400,0,0,0,0,0,0
10117,10400,0,0,0,0,0,0
10121,10400,0,0,0,0,0,0
10120,10400,906,203.62,0,18.055,15.21,0
10122,10400,0,0,0,0,0,0
10123,10400,0,0,0,0,0,0
10124,10400,0,0,0,0,0,0
10400,10400,0,0,0,0,0,0
10125,10400,0,0,0,0,0,0
10126,10400,0,0,0,0,0,0
10127,10400,0,0,0,0,0,0
10128,10400,0,0,0,0,0,0
10129,10400,0,0,0,0,0,0
10130,10400,0,0,0,0,0,0
10131,10400,0,0,0,0,0,0
10132,10400,0,0,0,0,0,0
10133,10400,0,0,0,0,0,0
10134,10400,0,0,0,0,0,0
10135,10400,0,0,0,0,0,0
10136,10400,0,0,0,0,0,0
10137,10400,0,0,0,0,0,0
10138,10400,0,0,0,0,0,0
10139,10400,0,0,0,0,0,0
10140,10400,0,0,0,0,0,0
10146,10400,0,0,0,0,0,0
10145,10400,0,0,0,0,0,0
10147,10400,0,0,0,0,0,0
10144,10400,0,0,0,0,0,0
10152,10400,0,0,0,0,0,0
10152,10400,0,0,0,0,0,0
10150,10400,0,0,0,0,0,0
10150,10400,0,0,0,0,0,0
10154,10400,0,0,0,0,0,0
10149,10400,0,0,0,0,0,0
10155,10400,0,0,0,0,0,0
10148,10400,0,0,0,0,0,0
10141,10400,0,0,0,0,0,0
10142,10400,0,0,0,0,0,0
10143,10400,0,0,0,0,0,0
10156,10400,0,0,0,0,0,0
10158,10400,0,0,0,0,0,0
10159,10400,0,0,0,0,0,0
10160,10400,0,0,0,0,0,0
10161,10400,0,0,0,0,0,0
10162,10400,0,0,0,0,0,0
10163,10400,0,0,0,0,0,0
10164,10400,0,0,0,0,0,0
10157,10400,0,0,0,0,0,0
10401,10400,0,0,0,0,0,0
10166,10400,0,0,0,0,0,0
10165,10400,0,0,0,0,0,0
10167,10400,0,0,0,0,0,0
10168,10400,0,0,0,0,0,0
10169,10400,0,0,0,0,0,0
10170,10400,0,0,0,0,0,0
10171,10400,0,0,0,0,0,0
10172,10400,0,0,0,0,0,0
10173,10400,0,0,0,0,0,0
10174,10400,0,0,0,0,0,0
10175,10400,0,0,0,0,0,0
10176,10400,0,0,0,0,0,0
10177,10400,0,0,0,0,0,0
10178,10400,0,0,0,0,0,0
10179,10400,0,0,0,0,0,0
10180,10400,0,0,0,0,0,0
10181,10400,0,0,0,0,0,0
10182,10400,0,0,0,0,0,0
10183,10400,0,0,0,0,0,0
10184,10400,0,0,0,0,0,0
10185,10400,0,0,0,0,0,0
10186,10400,0,0,0,0,0,0
10093,10400,0,0,0,0,0,0
10094,10400,0,0,0,0,0,0
10095,10400,0,0,0,0,0,0
10096,10400,0,0,0,0,0,0
10087,10400,0,0,0,0,0,0
10088,10400,0,0,0,0,0,0
10089,10400,0,0,0,0,0,0
10090,10400,0,0,0,0,0,0
10091,10400,0,0,0,0,0,0
10092,10400,0,0,0,0,0,0
10081,10400,4.705,1.34,0,0,0,0
10082,10400,0,0,0,0,0,0
10083,10400,0.025,0,0,0.025,0,0
10084,10400,0,0,0,0,0,0
10085,10400,0,0,0,0,0,0
10086,10400,0,0,0,0,0,0
10076,10400,0,0,0,0,0,0
10077,10400,0,0,0,0,0,0
10079,10400,0,0,0,0,0,0
10080,10400,0,0,0,0,0,0
10396,10400,0,0,0,0,0,0
10402,10400,5.245,1.945,0,0.1,0.37,0
10070,10400,3.665,0.765,0,0,0,0
10071,10400,0,0,0,0,0,0
10072,10400,2.695,0.14,0,0,0.06,0
10073,10400,0,0,0,0,0,0
10074,10400,0,0,0,0,0,0
10075,10400,0,0,0,0,0,0
10403,10400,0,0,0,0,0,0
10404,10400,0,0,0,0,0,0
10405,10400,0,0,0,0,0,0
10406,10400,0,0,0,0,0,0
10407,10400,0,0,0,0,0,0
10408,10400,0,0,0,0,0,0
10409,10400,0,0,0,0,0,0
10410,10400,0,0,0,0,0,0
10411,10400,0,0,0,0,0,0
10412,10400,0,0,0,0,0,0
10413,10400,0,0,0,0,0,0
10414,10400,0,0,0,0,0,0
10415,10400,0,0,0,0,0,0
10415,10400,0,0,0,0,0,0
10416,10400,0,0,0,0,0,0
10417,10400,0,0,0,0,0,0
10418,10400,0,0,0,0,0,0
10419,10400,0,0,0,0,0,0
10420,10400,0,0,0,0,0,0
10420,10400,0,0,0,0,0,0
10421,10400,0,0,0,0,0,0
10422,10400,0,0,0,0,0,0
10423,10400,0,0,0,0,0,0
10424,10400,0,0,0,0,0,0
10424,10400,0,0,0,0,0,0
10425,10400,0,0,0,0,0,0
10426,10400,0,0,0,0,0,0
10427,10400,0,0,0,0,0,0
10428,10400,0,0,0,0,0,0
10429,10400,0,0,0,0,0,0
10430,10400,0,0,0,0,0,0
10187,10400,0,0,0,0,0,0
10188,10400,0,0,0,0,0,0
10189,10400,0,0,0,0,0,0
10194,10400,0,0,0,0,0,0
10190,10400,0,0,0,0,0,0
10192,10400,0,0,0,0,0,0
10190,10400,0,0,0,0,0,0
10192,10400,0,0,0,0,0,0
10068,10400,0,0,0,0,0,0
10062,10400,0,0,0,0,0,0
10063,10400,0,0,0,0,0,0
10066,10400,1.69,0.455,0,0,0,0
10063,10400,0,0,0,0,0,0
10066,10400,1.69,0.455,0,0,0,0
10067,10400,1.465,0.54,0,0,0,0
10296,10400,0,0,0,0,0,0
10297,10400,0,0,0,0,0,0
10298,10400,0,0,0,0,0,0
10299,10400,0,0,0,0,0,0
10300,10400,0,0,0,0,0,0
10301,10400,0,0,0,0,0,0
10302,10400,0,0,0,0,0,0
10303,10400,0,0,0,0,0,0
10304,10400,0.12,0,0,0,0,0
10305,10400,0,0,0,0,0,0
10431,10400,0,0,0,0,0,0
10432,10400,0,0,0,0,0,0
10433,10400,0.155,0.045,0,0,0,0
10434,10400,0.715,0,0,0,0,0
10434,10400,0.715,0,0,0,0,0
10435,10400,0.93,0.115,0,0,0,0
10435,10400,0.93,0.115,0,0,0,0
10436,10400,1.475,0.19,0,0,0.07,0
10437,10400,0,0,0,0,0,0
10438,10400,0,0,0,0,0,0
10439,10400,0,0,0,0,0,0
10440,10400,0.37,0.06,0,0,0,0
10207,10400,0,0,0,0,0,0
10206,10400,0,0,0,0,0,0
10441,10400,0.31,0,0,0,0,0
10442,10400,0,0,0,0,0,0
10443,10400,0,0,0,0,0,0
10444,10400,0,0,0,0,0,0
10443,10400,0,0,0,0,0,0
10444,10400,0,0,0,0,0,0
10445,10400,0,0,0,0,0,0
10446,10400,0,0,0,0,0,0
10447,10400,0,0,0,0,0,0
10448,10400,0,0,0,0,0,0
10449,10400,0,0,0,0,0,0
10450,10400,0,0,0,0,0,0
10451,10400,0,0,0,0,0,0
10452,10400,0,0,0,0,0,0
10453,10400,0,0,0,0,0,0
10454,10400,0,0,0,0,0,0
10455,10400,0,0,0,0,0,0
10456,10400,0,0,0,0,0,0
10457,10400,0,0,0,0,0,0
10458,10400,0,0,0,0,0,0
10459,10400,0.155,0,0,0,0,0
10460,10400,0,0,0,0,0,0
10461,10400,0.07,0.07,0,0,0,0
10462,10400,0,0,0,0,0,0
10463,10400,0,0,0,0,0,0
10464,10400,0,0,0,0,0,0
10463,10400,0,0,0,0,0,0
10464,10400,0,0,0,0,0,0
10043,10400,0,0,0,0,0,0
10044,10400,1.405,0.57,0,0,0,0
10045,10400,4.515,2.23,0,0,0,0
10048,10400,0,0,0,0,0,0
10322,10400,0,0,0,0,0,0
10322,10400,0,0,0,0,0,0
10045,10400,4.515,2.23,0,0,0,0
10048,10400,0,0,0,0,0,0
10319,10400,0,0,0,0,0,0
10320,10400,0,0,0,0,0,0
10321,10400,0,0,0,0,0,0
10318,10400,0,0,0,0,0,0
10465,10400,0,0,0,0,0,0
10466,10400,0,0,0,0,0,0
10467,10400,0,0,0,0,0,0
10468,10400,0,0,0,0,0,0
10469,10400,0,0,0,0,0,0
10470,10400,0,0,0,0,0,0
10471,10400,0,0,0,0,0,0
10472,10400,0,0,0,0,0,0
10473,10400,0,0,0,0,0,0
10474,10400,0,0,0,0,0,0
10475,10400,0,0,0,0,0,0
10476,10400,0,0,0,0,0,0
10477,10400,0,0,0,0,0,0
10478,10400,0,0,0,0,0,0
10479,10400,0,0,0,0,0,0
10480,10400,0,0,0,0,0,0
10397,10400,0,0,0,0,0,0
10397,10400,0,0,0,0,0,0
10481,10400,0,0,0,0,0,0
10482,10400,0,0,0,0,0,0
10483,10400,0,0,0,0,0,0
10484,10400,0,0,0,0,0,0
10485,10400,0,0,0,0,0,0
10486,10400,0,0,0,0,0,0
10487,10400,0,0,0,0,0,0
10488,10400,0,0,0,0,0,0
10489,10400,0,0,0,0,0,0
10490,10400,0,0,0,0,0,0
10491,10400,0,0,0,0,0,0
10492,10400,0,0,0,0,0,0
10493,10400,0,0,0,0,0,0
10494,10400,0,0,0,0,0,0
10495,10400,0,0,0,0,0,0
10496,10400,0,0,0,0,0,0
10497,10400,0,0,0,0,0,0
10498,10400,0,0,0,0,0,0
10499,10400,0,0,0,0,0,0
10500,10400,0,0,0,0,0,0
10500,10400,0,0,0,0,0,0
10501,10400,0,0,0,0,0,0
10502,10400,0,0,0,0,0,0
10502,10400,0,0,0,0,0,0
10503,10400,0,0,0,0,0,0
10504,10400,0,0,0,0,0,0
10504,10400,0,0,0,0,0,0
10505,10400,0,0,0,0,0,0
10505,10400,0,0,0,0,0,0
10506,10400,0,0,0,0,0,0
10506,10400,0,0,0,0,0,0
10508,10400,0,0,0,0,0,0
10508,10400,0,0,0,0,0,0
10509,10400,0,0,0,0,0,0
10509,10400,0,0,0,0,0,0
10510,10400,0,0,0,0,0,0
10510,10400,0,0,0,0,0,0
10511,10400,0,0,0,0,0,0
10514,10400,0,0,0,0,0,0
10515,10400,0,0,0,0,0,0
10516,10400,0,0,0,0,0,0
10517,10400,0,0,0,0,0,0
10335,10400,0,0,0,0,0,0
10334,10400,0,0,0,0,0,0
10334,10400,0,0,0,0,0,0
10518,10400,0,0,0,0,0,0
10519,10400,0,0,0,0,0,0
10520,10400,0,0,0,0,0,0
10521,10400,0,0,0,0,0,0
10522,10400,0,0,0,0,0,0
10523,10400,0,0,0,0,0,0
10523,10400,0,0,0,0,0,0
10524,10400,0,0,0,0,0,0
10524,10400,0,0,0,0,0,0
10525,10400,0,0,0,0,0,0
10526,10400,0,0,0,0,0,0
10527,10400,0,0,0,0,0,0
10528,10400,0,0,0,0,0,0
10529,10400,0,0,0,0,0,0
10530,10400,0,0,0,0,0,0
10531,10400,0,0,0,0,0,0
10532,10400,0,0,0,0,0,0
10532,10400,0,0,0,0,0,0
10533,10400,0,0,0,0,0,0
10534,10400,0,0,0,0,0,0
10534,10400,0,0,0,0,0,0
10536,10400,0,0,0,0,0,0
10537,10400,0,0,0,0,0,0
10537,10400,0,0,0,0,0,0
10538,10400,0,0,0,0,0,0
10539,10400,0,0,0,0,0,0
10540,10400,0,0,0,0,0,0
10540,10400,0,0,0,0,0,0
10541,10400,0,0,0,0,0,0
10542,10400,0,0,0,0,0,0
10542,10400,0,0,0,0,0,0
10543,10400,0,0,0,0,0,0
10393,10400,0,0,0,0,0,0
10394,10400,0,0,0,0,0,0
10395,10400,0,0,0,0,0,0
10238,10400,0,0,0,0,0,0
10238,10400,0,0,0,0,0,0
10324,10400,0,0,0,0,0,0
10325,10400,0,0,0,0,0,0
10326,10400,0,0,0,0,0,0
10327,10400,0.075,0.025,0,0,0,0
10351,10400,0,0,0,0,0,0
10351,10400,0,0,0,0,0,0
10051,10400,0.69,0.405,0,0,0,0
10352,10400,0.515,0.07,0,0,0,0
10352,10400,0.515,0.07,0,0,0,0
10328,10400,0.38,0.07,0,0,0,0
10333,10400,0.405,0.085,0,0,0.07,0
10544,10400,0,0,0,0,0,0
10545,10400,0,0,0,0,0,0
10546,10400,0,0,0,0,0,0
10547,10400,0,0,0,0,0,0
10548,10400,0,0,0,0,0,0
10549,10400,0,0,0,0,0,0
10550,10400,0,0,0,0,0,0
10550,10400,0,0,0,0,0,0
10551,10400,0,0,0,0,0,0
10552,10400,0.095,0.07,0,0,0,0
10553,10400,0,0,0,0,0,0
10554,10400,0,0,0,0,0,0
10555,10400,0,0,0,0,0,0
10556,10400,0,0,0,0,0,0
10557,10400,0,0,0,0,0,0
10558,10400,0,0,0,0,0,0
10559,10400,0.75,0.06,0,0,0,0
10560,10400,0,0,0,0,0,0
10561,10400,0.38,0.07,0,0,0,0
10562,10400,0,0,0,0,0,0
10563,10400,0,0,0,0,0,0
10563,10400,0,0,0,0,0,0
10564,10400,0.38,0,0,0,0,0
10565,10400,0,0,0,0,0,0
10567,10400,0,0,0,0,0,0
10567,10400,0,0,0,0,0,0
10568,10400,0,0,0,0,0,0
10569,10400,0,0,0,0,0,0
10570,10400,0,0,0,0,0,0
10571,10400,0,0,0,0,0,0
10572,10400,0.415,0,0,0,0,0
10573,10400,0,0,0,0,0,0
10574,10400,0.255,0.03,0,0,0,0
10575,10400,0,0.025,0,0,0,0
10576,10400,0.13,0,0,0,0,0
10577,10400,0,0,0,0,0,0
10578,10400,0.415,0,0,0,0,0
10579,10400,0.37,0,0,0,0,0
10580,10400,0,0,0,0,0,0
10581,10400,0,0,0,0,0,0
10582,10400,0,0,0,0,0,0
10583,10400,0,0,0,0,0,0
10585,10400,0.105,0,0,0,0,0
10587,10400,0,0,0,0,0,0
10588,10400,0.31,0.07,0,0,0,0
10589,10400,0.025,0,0,0,0,0
10590,10400,0,0,0,0,0,0
10591,10400,0,0,0,0,0,0
10592,10400,1.12,0.31,0,0,0.07,0
10593,10400,0,0,0,0,0,0
10594,10400,0,0,0,0,0,0
10595,10400,0,0,0,0,0,0
10596,10400,0,0,0,0,0,0
10597,10400,0,0,0,0,0,0
10598,10400,0,0,0,0,0,0
10599,10400,0,0,0,0,0,0
10600,10400,0,0,0,0,0,0
10601,10400,0,0,0,0,0,0
10602,10400,0,0,0,0,0,0
10603,10400,0,0,0,0,0,0
10604,10400,0,0,0,0,0,0
10605,10400,0,0,0,0,0,0
10607,10400,0,0,0,0,0,0
10608,10400,0,0,0,0,0,0
10609,10400,0,0,0,0,0,0
10610,10400,0,0,0,0,0,0
10612,10400,0,0,0,0,0,0
10614,10400,0,0,0,0,0,0
10615,10400,0,0,0,0,0,0
10616,10400,0,0,0,0,0,0
10617,10400,0,0,0,0,0,0
10618,10400,0,0,0,0,0,0
10619,10400,0,0,0,0,0,0
10620,10400,0,0,0,0,0,0
10621,10400,0,0,0,0,0,0
10622,10400,0.34,0,0,0,0,0
10622,10400,0.34,0,0,0,0,0
10623,10400,0,0,0,0,0,0
10624,10400,0.03,0,0,0,0,0
10625,10400,0,0,0,0,0,0
